,beer_id,username,review
284,125646,Choppin-Banana,"Nice color looking like dark pineapple juice, citrus aromas and sweet peach... nice mouth feel and very hoppy finish, slight aftertaste.... can taste the 8.2 but ever so slightly ... 2-3 might be max at one siting but still great offering"
285,125646,palealeale,Delicious.
288,125646,Treyliff,"16oz can poured into a tulip Canned 10/25/17 A- pours a hazy and murky orange-yellow color with a one-finger creamy white head that has good retention S- loads of bright citrus hops on the nose, orange pith, grapefruit zest, tangerine. Also notes of peach skin, passionfruit, mango & melon T- bright orange juice, grapefruit and citrus pith up front, followed by ripe peach, cantaloupe, mango and passionfruit. The finish is juicy and resinous with a hint of pine and pepper, lingers of more citrus juice M- medium body with moderate carbonation leads to a slightly foamy mouthfeel and a dry resinous finish O- juicy and drinkable, loaded with citrus and tropical fruity hops"
290,125646,Kcoondawg,"Hazy NE IPA golden color. Foamy head that quickly disappears. Juicy explosions at first pour. Smooth taste, little after taste, not too hoppy. Good mouth feel, some creaminess yet too much lingering feel. Overall great offering from TH, easy to drink everyday."
302,125646,mcsoupman,"What a good beer. Crisp clean taste of an IPA without the lingering aftertaste so common with IPAs. The beer felt ""full"" in the mouth without a syrupy or slimy texture. Smell was nice and pleasant with a lite hop/grain aroma."
305,125646,digboy,"Can dated 9/14/17 - about 6 weeks old, which may influence the review (i.e. hop flavor has faded a bit) Pours a very cloudy, vibrant orange-gold color with a 2 finger fluffy head that leaves nice lacing as it dies down. Aroma has fragrant notes of orange and nectarine and some pine, not too strong but very present. As it warms up a little more alcohol comes through on the nose. The taste follows the smell closely with the hop flavor up front giving way to a light maltiness midway through and finishing off with a nice buzz on the tongue with a bit of tartness and residual sweet hop. The flavor has a little white pepper to it as well. The feel is smooth and soft with a little seltzer. It is a little sticky on the lips as well. Clearly a great NEIPA. The tartness is an interesting take on it and definitely works well. There are many other NEIPAs I would be happier to have before this one but I wouldn't kick it out of bed by any measure."
311,92616,UCLABrewN84,"On tap at Aftershock Brewing Company in Temecula, CA. Pours a hazy honey orange with a foamy off-white head that settles to a film on top of the beer. A foamy curtain of lace coats the glass on the drink down. Smell is of malt, citrus fruit, citrus zest, and slight tropical aromas. Taste is much the same with citrus zest flavors on the finish. There is a medium amount of hop bitterness on the palate with each sip. This beer has a lower level of carbonation with a slightly crisp mouthfeel. Overall, this is a pretty good beer that smells much better than it tastes."
312,92616,mactrail,"This pours a clear dark amber with an auburn cast. Not much of a head in the tall tulip glass, and below average carbonation in general. I am struggling to get much actual smell out of this, but it is powerfully hoppy-fruity in the nose and on the tongue. Rather sweet with a perfumey flavor along with the malt. Intense fruity hop flavor with some candy. Actually, it's really sweet. Dried pineapple and frozen apple juice concentrate. Some roasted malt along with all the caramel. With the right hops this could be an amber Barley Wine. Back of the throat scratchiness. A little woody and rather acidic with all the hops. Plenty of bitterness in the aftertaste. Here's yet another new brewery promising a full line of beers. They list 10 on tap already. From the 22 oz bottle bought at Barons Marketplace on Point Loma Blvd. I wish they would lose the yellow wax dip, but that makes it ""special."""
321,346749,tastocke,Terrific beer. Dank and fruity.
326,58482,MaltyGoodness,"12oz. bottle Pours a clear amber color with a small tan head that maintains. Nice lacing on the glass. Sweet bready aroma packed with herbal hops. Very slightly sweet malty and bready flavor upfront. Leads into a bold amount of herbal hops with medium botterness. Finishes fairly clean with a slight lingering bitterness. Tastes very fresh. Medium body, well carbonated. Quite a nice Belgian pale ale. Done well to style and certainly quenched my thirst for just such a beer."
327,58482,SPRichard,picked up a single bottle 2 weeks back to try it out....finally got around to drinking it today copper/orange hue...cloudy body....thick white head...a little yeast floating around but it is a bottle conditioned beer so i expected some....nice strong presence of Belgian lacing down the glass floral hops with some citrus scents also...a touch of spiced yeast...fresh baked bread/biscuit Belgian funk...sweet bread....finishes with a mild earthy and pleasant floral hop very smooth carbonation bubbles that tickle the tongue a bit ...nice balance of hops and malt overall over the palate...medium bodied...slight traces of yeast spice and bitter hops on the palate glad i had a chance to give this one a shot...nothing like investing in a 4 or 6 pack of beer to find out you don't like it...i'll be sure to pick up a 4 pack of this on my next trip to the liquor store....always a plus to find a local made beer that is worth coming back too
328,58482,ChainGangGuy,"Snatched up a 4-pack of Zotten for $7.49 at Bullock's in Marietta, Georgia. I've typically enjoyed most of the Weyerbacher product I've had, so hopefully this'll hit a home run for me even if I'm not a sick, sick child dying in the hospital. Appearance: Pours out a dark, orange-amber body with a frothy, though somewhat short-lived, bone white head. Smell: Pale malts and light, crisp wheat malt brushed with a light, sweetish caramel sauce. Boldly spicy, zesty scent of fresh-ground pepper along with notes of Dubble Bubble bubblegum and citrus with some pine awakening upon warming. Taste: Pale malts and wheat coming across as a taste of particularly grainy whole wheat (but wholesome) bread. Light touch of sweet caramel glaze. Already there's a zip of peppery spiciness and flavor of bubblegum. Lesser hint of banana. Pinch of Florida orange citrus pith and a few drop of pine resin with a medium-plus amount of hop bitterness. A bit of watercress late in the taste. Dry, earthy, spicy finish. Mouthfeel: Medium-bodied. Medium-plus carbonation. Drinkability: Why, that's generally likable! Plenty of flavors and complexity to keep me fairly well-entertained, but, thankfully, it's easy-going on the overall ABV. I do look forward the three remaining bottles!"
329,58482,mikey711,"Poured into an oversized wine glass. A bit darker than I expected as it was amber in tint with a thick head that disappeared quickly. It smells very earthy, but still has that bubblegummy sweetness in the nose as well. Also a touch of hop spice. I think i was hoping for a bit more sourness, but this was a good effort. It is earthy and and full of esters. The mouth feel is pretty consistant with th style but it isn't going to replace any imports in this style. Also, there is a bit of a soapiness which was a bit off putting."
330,58482,jwc215,"Poured into tulip glass: Pours golden amber with a thin white head that slowly becomes a patch. Some lacing sticks. Nice color, but doesn't have the head retention or lacing that I would expect. THe smell is of a sweet fruitiness and grainy with some yeasty notes. Slight tart notes are mixed in from the fruitiness. The taste is sweet and fruity - hint of bubblegum - that quickly turns to a dry, herbal finish. It it light-bodied. A few more effervescent bubbles would make it more lively, IMO. This is sweet and fruity/grainy turning (almost too quickly) to herbal (aspirin-y) dry. It has a certain character that gives it the ""American attempt at Belgian"". It's fine, for that."
331,58482,GeoffFromSJ,"This beer caught me off-guard in how good it was. A pleasant mix of Brett funk and hops. Brett on the nose. The taste is well constructed. Brett up-front. And then a pleasant and non-overwhelming hops bitterness at the end. I highly recommend this, especially for any Orval fans out there."
334,58482,WVbeergeek,"Appears a beautifully clouded copper orange hue with a thick chunky doughnut like cream tinted white head, has some yeast specks floating on board. Lacing is perfect fine Belgian style lacing evenly strong around my glass. Aromatics offer up floral hops with citrus components joining in, mildly spiced yeast notes with fresh baked bread in the biscuit malt department. Very soothing and delicious smelling brew from Weyerbacher. A superb blend of flavors collide with cookie dough like malt and sweet bread layers with yeast spicing the party up a bit. Finishing with mildly earthy, pungently citric, and pleasantly floral hop additions. A bit of undeniable Belgian funk going down brings it all together. A perfect blend of spiced bready hoppy ale sits in my glass very well done the most finesse to come of Dan Weirback in some time. Mouthfeel is so smooth carbonation bubbles to tickle a bit but overall the balance of malt and hops streaks so nicely across the palate, quite the interesting medium bodied Belgian style pale. Leaves traces of yeast spice and bittering hops on the palate, and hop burps will follow and tickle the nose. Drinkability overall kicks ass one of those OMFG beers that inspires me to try as many beers as I can. A case of this is in my near future I have to sit on these and watch them evolve, the best American brewed belgian style pale to cross my palate reminiscent but by no means a copycat of Orval Trappist."
335,58482,OldSchoolGamer,"I haven't had a lot of Belgain Pale Ales. I think the last one I had was Leffe Blonde, which I hated. Lets see if Weyerbacher can cange my perception of the style: A: Pours a nice golden straw color. Head is a bright white color, but dissipates rather quickly. Lacing is very minimal. S: Lots of Belgian yeast. Some fruityness. I also get a touch of hops. T: Pretty solid Belgian Pale Ale. First thing you get is the Belgian yeast. There is also some spice in there. Then there is a almost melon-like fruityness. The finish is grassy hops. Not bad. M: Medium to light bodied. Pretty carbonated mouthfeel. Very smooth. D: Decent flavors and mouthfeel. However, I think this is a one and done type of beer. Drinks easily, but not something I could drink a lot of. I was pleasantly surprised with this one. The Belgian character is there, but there is also a unique fruit and hop character that adds to the complexity and enjoyment of the beer. Definetly worth a shot, even if you are not a Belgian Ale fan. Recommended."
336,58482,magnj,"a - Somewhat hazy orange body sits below a generous film that developed after an initial 2 finger fluffly white head. s - Spicy Belgian yeast, way more up front than I was expecting, then again I don't know what exactly I was expecting. Inviting and sweet, missing the hops I was expecting but I assume that will come in the taste. t - Delicate hops flavor overshadowed by spicy Belgian yeasties. I was expecting a hop bomb from Weyerbacher but this is not it. That being said, this is a tasty brew. Sweet but not overdone, finishes clean and dry but the complex yeast flavors linger for a while. m/d - Nice and light though still a bit sweet like it's big Belgian Triple brothers. Much more refreshing but I'm still wary, I'm used to this taste having a sneaky alcohol punch to it in the end. Really drinkable, complex and a fun style I have not had much experience with."
337,58482,NiceGuyMike,"Dark clear golden hue with a lovely white, fluffy head with almost no lacing. This brew does not have strong smells, but there are some light fruity Belgian fruity sents with rather strong smell of of alcohol. First taste is a generic American Belgian flavor with spicy pepper and bitterness (a bit much too) to follow. A wonderful Bready flavor follows the spice. Oddly the alcohol flavors are well controled. Medium body with some nice effervecance which highlights the pepperiness. I like the breadyness of this beer."
338,58482,fav920,"Not a pro with belgian pale ales, but i like this a lot. If you've had Quad by Weyerbacher (which I love), this tastes like a ""Quad Light"". I will buy this again, and paid $7.75 for a 4pk at Jonathon Ron in Brielle, NJ. Another quality beer by Weyerbacher!"
339,58482,roan22,"Had this on draft at the Devils Den. appearance: nice golden color, very fresh aroma: belgian yeast, fruity sweetness taste: overly sweet, seems like it should be dryer. sweet belgian taste dominates..I do note hops too but they aren't bitter enough to cut the sweetness for me. kind of banana in the finish which turns me off. mouthfeel is alright, except the banana taste! drinkability: no, I'll pass. too sweet for me."
340,58482,BirdFlu,"Pours a copper-amber color with foamy off-white head. I was expecting it to be cloudier for some reason, nice head, though. Aroma is bready, citrusy with lemon zest and orange peel, a bit yeasty and certainly tons of banana and clove. So kind of typical. for your spiceir belgian pales.. Taste is pretty much same as aromas, yeasty, spicery with black pepper, etc. I would like it a bit sweeter. Mouth is moderate, fairly spicey with a peppery aftertaste/feel in the back of the throat. Overall its lighter in body and sessionable in that sense. The flavor is a bit off, though, and the spice is a bit much. I would enjoy it more with a bit more sweetness."
341,58482,BigMike,Pours a cloudy yellow with pale white fizzy head. Smell is very yeasty and grainy. Some citrus and hops and a touch of floral. Taste is the same. Lot's and lot's of yeasty sweetness. A touch of grapefruit and a slight hoppy finish. Thin mouthfeel. Not overly carbonated. Easy to drink. The thing that gets me about this ine is that it's a session beer that comes in a 4-pack. Good summer brew though. Probably not one i will try again. Not that theres anything wrong with it. This just isn't my favorite style.
342,58482,corby112,"Pours a slightly hazy golden orange color with thin foam white head that quickly settles into thin ring that leaves minimal lacing. Crisp light fruit aroma with subtle hops and apple, pear and citrus notes. There's also some nice citrus/lemon zest and peppery spice in the nose. Earthy hop flavor balances out light crisp fruit notes. Hints of apple, citrus peel, lemon zest and other peppery spices. Medium bodied that is smooth and easy drinking with a slightly tart, dry finish."
343,64319,metter98,"On-tap at Venice Ale House, Venice, CA A: The beer is clear dark golden yellow in color and has a moderate amount of visible carbonation. It poured with a thin white head that left a large patch of bubbles in the center and a collar around the edge of the glass. S: Light to moderate aromas of nondescript malts are present in the nose. T: The taste is similar to the smell and has flavors of light malts along with slight hints of sweetness. M: It feels just about medium-bodied on the palate and has a moderate amount of carbonation. O: This beer seems a lot more like an American Blonde Ale than a Belgian Pale Ale. I didn't get any bits of Belgian yeast in the smell or taste."
346,58482,ColForbinBC,"12oz bottle poured in a tulip A rather deep orange body with a good amount of clarity and visible carbonation. A thick, slightly off-white cap rises and falls quickly. A small amount of sticky lace is left on the glass. A hearty Belgian yeast aroma, ripe fruits, with an herbal, medicinal hop profile and a solid bready malt. Raisins and bananas are the primary fruit. An astringent, medicinal hop profile really cuts through all of the other flavors and took me a sip or two to adjust. A signature Belgian yeast flavor of banana and an adequate amount of spice blend in with the aforementioned astringent hops and orange rind. The finish is a strong, bready malt flavor, think raisin bread. A very creamy mouthfeel. Medium bodied with near perfect carbonation. They nearly nailed this one. Finish is dry and bready with just a touch of bitterness. A pretty sessionable offering, easily drinkable. Would like to see it in six packs rather than four packs. A solid addition to the weyerbacher lineup. I will definitely be buying this again."
347,58482,drcarver,"A - a cloudy, medium amber color with a small 1/2 finger white head that lasts. S - hint of perfume, citrus, and spice A - a strong flavor of banana and pear balanced with citrus and a clove like spice. A long-hanging aftertaste M - Smooth and creamy D - Goes down nicely."
348,58482,vikingloki,"On tap at the Bear Creek Grille in Macungie. I'm a Weyerbacher fan, I admire and them and usually love their big beers. Comes to the table in a frosty pint glass, almost a reddish color with not much of a head, probably lost in the trip to the table. i like the color, it's a ""light foxy red"". Smells good, interesting, yeasty, bready, hoppy, complex. Taste is not what I expect - there is a very unusual, but I wouldn't say bad, kind of 'zing' thru-out, my guess is it's the yeast. Beer finishes dry with a little hop smack at the end like an afterthought. The yeasty taste lingers on the palate and to my dismay does not compliment the beer cheese dip and beer bread. I'm kinda on the fence about this one, I'd like to give it another chance sometime. Maybe having one that's been bottled in a month might mellow out that oddish tase."
349,58482,Hojaminbag,"A hazy, pale, golden body with about one and a half fingers of off white head that sticks around for awhile, but doesn't really leave any lacing behind. The nose is fruity and a little spicy. There is a nice fruit flavor in there that I cannot really pinpoint as a single fruit: just take my word for it that it is fruit. Next there is a slight peppert flavor, and maybe a touch of ansie-like flavor. There is just a touch of bready flavors from the malt. Mostly a yeast driven beer, and pretty good. Mouthfeel is appropriately thick and full. Pretty drinkable beer. I think I saw some cases for less than 40 bucks; I might go pick one up."
350,58482,tempest,"On-tap for $5 a pint at Liberty St. Tavern in Allentown. Appeared a hazy amber with a short head. This is an interesting beer, but I get some awful off aromas that really kill it for me. Still there's a relatively big, hoppy flavor with citrus and mild pine, while the aroma hits me with dirt and cleaning solvent - not cool. This beer needs some work, but it's not a good beer yet."
351,58482,woodychandler,"An aggressive pour resulted in two fingers of rose-shaded head with good retention. Nose had a slightly perfumey accent, kind of reminiscent of Juicyfruit gum, definitely yeast-driven in its origin. The color was a hugely hazy deep-amber. The mouthfeel was full, thick, and bubbly with a very sweet bubble gum (think generic pink or Juicyfruit) flavor on the tongue. The finish lingered with that same bubble gum flavor. At 6% ABV and with its realtive lack of banana esters, I really see this as an alternative to Hefeweizen, which I dislike."
352,58482,Birdiebeagle,Bottle Pours a clear goldenrod with a good off white head. The head is frothy and diminishing. Produces good lacing. Aroma is good like juicey fruit gum. Good sweet malts with a touch of hops. The taste is good. Good carbonation and a nice mouthfeel. Has a good balance of sweet and hop. Not to sweet but sweeter than hoppy. Has light to medium body. A resiny texture. The finish is good with a quality aftertaste. I love these guys beers.
353,58482,ejimhof,"About 7 0r 8 years ago I bought the Weyerbacher sampler case and sad to say I found it hard to finish. I swore I would not spend any more money on their products. Lately the beers I have tried, given to me by friends, have seemed much higher quality. I am happy to report that this may be the best beer they have made to date. It is hard to tell that this is not made in Belgium. I guess hard work and changes have paid off for this Brewery. As far as this beer they have nailed every aspect of the style. Congrats to Dan. And I am buying their beer again."
354,58482,JoePetto,"On draft at TND in Wayne in 13oz wide beer flute. This is not an attempt to create a rendition of a true belgian pale ale, rather it is a ""tweener"" beer bridging the belgian and american pale ale styles. That said, this is a really enjoyable beer regardless of style. Funkiness of the Merry Monks yeast strain hits first then followed by a nice amount of hops flavor on the finish. The beer is zippy with flavor and carbonation and extremely refreshing. At 6% ABV, this beer is made to session."
355,58482,NJpadreFan,"Weyerbacher- Zotten A- Hazy cloudy orange/brown with a huge thick frothy head. S- Spicy. Orange peel, grape, and cherry. T- Spicy dry cloves with a tart fruity bite. Cherry, orange, lemon, and grape really come out. Wheaty and yeasty. M- Very dry and spicy. A harsh bitter aftertaste. Overall- Good spiciness. Slight metallic bitterness is a bit bothersome."
360,64319,MV_CHI-NS,"Appearance: Light gamboge/jonquil body with an isabelline head. Aroma: Bitter malts, grains, and rather yeasty. Taste: 'Light hops and dirty earth' were the first things that came to mind when drinking this; it reminded me of Old Style. Mouthfeel: Considerably light carbonation - rather flat, actually. Overall: Certainly not one of the best beers I have had, let alone one of the best blondes I have had. I had this along with Brouwerij West's 'Tripel' and was excited as it was my first time trying their beers. I don't think I will be revisiting this one."
366,64319,beertunes,"16.9oz bottle poured into straight pint glass. Poured a hazy yellow color with over 3/4 inch of white head that decent retention and moderate lacing. The aroma featured a good grain base, had a bright yeast scent, and had a bit of spiciness floating around. The flavors followed the scents pretty closely, grain, spice, and yeast, it was a pretty typical flavor profile for the style. The body was smooth and even, with a clean finish. Drinkability was good, the beer went down smoothly and quickly. Overall, a nice little beer, but nothing special. Worth grabbing if you see a nice price on it."
367,64319,mhaugo,"500ml bottle poured into an imperial pint glass. Appearance: Light butterscotch, thin white head, as cloudy as grandma’s cataract. Smell: I swear to god this smells like a skunked Corona. It’s that bottle that’s been sitting on the shelf at 7-11 for who knows how long and could not have possibly absorbed more light. Mutated, spicy noble hops. Terrible. Taste: Also tastes like bad Corona. Bad Corona that someone ran through a grain bed of pilsner malt and wheat. I almost could not finish it. Mouthfeel: Light body, medium carbonation. Overall: This brewery could not possibly ask more of me as a consumer. I heard about what they’re doing, went out and purchased a bottle of each, and will probably never buy anything else they make. I’ve been underwhelmed five times in a row. This beer may be the worst of them. I absolutely love the artwork on their labels, and the fact that they intend to rotate them, but I guess I’ll be appreciating them on the shelf going forward."
369,64319,mactrail,"A light and spritzy brew with a distinct Belgian edge. Pale hazy golden in the glass with a modest foam and adequate spritzy mouthfeel. This tastes a lot like the Swing Session Saison from Victory that I tried last night, though a little more robust. Still this is pale and light bodied with yeasty funk and more of a Brettanomyces flavor. A pleasant beery smell. Very bitter with the yeasty flavors, lasting long into the aftertaste. Quite drinkable and not overpriced. But very dry and hard edged. No trace of fruit or mellow malt in this one. Eventually this just pushes to the bitter end and I can't finish a bottle of this stuff, in spite of its virtues. From the 500 ml bottle purchased at Bottleworks in San Diego for $5.15."
370,64319,RblWthACoz,"Pours a clouded yellow gold with a decently thick white-ish head. Nice Belgian profile on this. It's been aging for at least 8 or 9 months, I think, so it seems somewhat mellow. Tones of lemon, though not obnoxiously so. Mild yeast and bread are also there. A nice easy drinker. Not too bad, and better than I seem to recall from the last time I tried this beer."
373,64319,kojevergas,"16.9 fluid oz brown glass bottle with standard pressure cap acquired at Cap N Cork liquor in Los Feliz and served into a Uinta pilsner glass in me gaff in low altitude Los Angeles, California. Reviewed live. Cost was $5.99. Expectations are above average; I dig the marketing. Served straight from the refrigerator. Side-poured with standard vigor as no carbonation issues are anticipated. A: Pours a three finger beige colour head of nice cream and thickness, and good retention - thought the ABV is merely 5.50%. Body colour is a pale yellow. No yeast particles are visible. No bubble show. Transparent. Nonopaque. Sm: Fresh clean pale malts. Lemongrass. Lemon zest. Citrus zest. A clean appealing aroma for the style. Little yeast. No alcohol is detectable. An average strength aroma. A bit adulterated. Artificial floral notes. Artificial lime. A bit reminiscent of a crappy Spanish lager. T/Mf: Artificial crappy lime up front immediately. A clean malt and decent zesty lemon body. Comes off artificial and a bit syrupy. No yeast or alcohol comes through. Very strange for the style. A bit garbage. I don't care much for it. It's certainly not well balanced. Overly malty. Poorly built for the style. Dr: Drinkable but underwhelming and overpriced. Very forgettable. Beneath pedestrian. Why brew this? I don't look forward to trying this brewery's other beers. D"
375,64319,UCLABrewN84,"Pours a slightly hazy gold with a 1 inch foamy tan head that fades to a film on top of the beer. Foamy rings of lace line the glass on the drink down. Smell is of malt, grain, yeast, and some slight skunk which is weird because the bottle is brown. The smell reminds me more of a foreign lager than a Belgian style pale ale. Fortunately, the taste is much better with malt, grain, yeast, and some spice flavors on the finish. I am also picking up some grassy and herbal flavors as the beer warms up a bit. There is a medium spice bitterness on the palate after each sip. This beer has a lower level of carbonation with a slightly crisp and medium bodied mouthfeel. Overall, this is a good beer that walks an interesting balance of having a mediocre smell but a great taste."
376,64319,Wowcoolman,"Sampled on tap at Whole Foods with Brian Mercer, the creative force behind Brouwerij West. Pours a yellow-gold color with some head retention. The nose is a tad funky with some lemony esters joining in. The taste is refreshing with a dry, straw-like character and a slight phenolic finish. Brain is devoted to recreating Belgian flavors and I would not think this was a West Coast beer. The mouthfeel is ample and creamy. Quite enjoyable if you enjoy old world styles."
380,64319,womencantsail,"On-tap at Provisions A: The pour on this one is a clear, pale straw color with a small white head. S: An almost popcorn-like aroma with a decent amount of bread. A strong grass and floral perfume aroma along with a touch of melon. Fairly light yeast, phenols, and esters. T: Decently sweet with a fair amount of bread. A bit of citrus peel and spice on the middle of the palate. Lightly grassy with some perfume character and floral notes. M: The body is fairly light with a medium level of carbonation. O: A decent light Belgian beer, but not really my favorite."
389,64319,jminsc76,"On tap presently at The Library in Santa Monica. Pours a white frothy head atop a yellow, golden body. A highly effervescent look with pretty bubbles rising and dancing upon agitation. The bouquet is highly floral, with strong wheat aromas and mild lavender. More or less it's like smelling a White Orchard from The Bruery, though slightly less floral, with more wheat and yeast. Flavors are yeasty, much like the aromas, much like White Orchard, though smoother and with substantial meat behind it. It’s almost as if I am chewing on the wheat, with a highly complex, smooth, dry heartiness that makes it so pleasant. Which leads me to the… …mouthfeel, which is dry and ebullient upon swishing, and very clean. Overall, this is damn good, maintaining high drinkability both from its flavors, mouthfeel, and excellent crispness. Ideal for pairing with food (thinking a good salad with some goat cheese or a fish dish) as well as a standalone sipping aperitif. Easily could I throw back two or three per sitting."
390,64319,DoubleJ,"On-tap at Beachwood BBQ, on to the beer: Pale yellow in color with little head retention on top. The aroma is difficult to make out; it smells most like a barnyard. A little sulfur make way. I thought the funk would lighten up from there, but it keeps going strong into the taste. From the taste, I could close my eyes and pretend I was on a farm. In fact, it seems to resemble a saison better than a Belgian Blond. At some points it's pushing itself to being uncomfortable, though I find a way enjoy it. This is definately not for the faint of heart."
391,64319,beagle75,"Draft service into a long-stemmed fluted tulip glass at Beachwood BBQ. A: Slightly hazy, medium golden color with one finger of fine white foam head. No lacing remains on the glass, although a few submerged and clustered bubbles cling to the side. S: Toasted grain and clean but characterful Belgian yeast present a smell that is slightly spicy and herbaceous, but otherwise clean. T: Begins almost dry, with bright fruit consisting of pear and golden raisin alongside estery farmhouse yeast. Acidity is managed well, remaining restrained but lively. Delicate pale malt emerges in the middle as flavors of malt and yeast turn bready. The finish is mild and yeasty, seeing a tasteful and palate-cleansing resurgence of acidity. M: Thin to medium viscosity, refreshing on the palate, early acidity is not quite felt, with moderate carbonation. D/O: This is an unassuming beer of ordinary strength and intensity that delivers Belgian-style character in exactly the expected quantity. Comparable to Russian River Redemption, it lacks the extreme dryness and blanketing wheat-like quality of that other beer. It is a bit limp to look at, in a way that Russian River beers almost never are, but otherwise it makes for a worthy saison/single cross-over."
404,104824,emerge077,"Black with brownish edges, thin layer of tan foam across the surface that quickly fades to a thin ring around the edges of the glass. Very minimal if any spotty lace. Aroma is sweet and boozy, later becoming a little more earthy and woody at room temperature. Initially it's like sniffing a pour of Buffalo Trace. Taste has more nuance, though still plenty of whiskey heat packed in. Woody drying aftertaste, much like a sip of bourbon. Middle has notes of earthy roasted malt, toffee, caramel, toasted almond, dry tobacco leaves. Chewy and rich, but not without some sting and numbing alcohol. Overall a little more balance would be nice, though it tastes good."
406,104824,homebrew311,"Pours a deep opaque black with nearly no head. The nose is spirit forward with huge oak and char notes paired with strong vanilla. Next comes some fudgy brownie notes that pair nicely with he barrel notes. The taste is much like the nose with heavy vanilla notes paired with fudge and cocoa. The barrel aging has really smoothed the base out and has intensified the chocolate notes. My only slight issue with the beer is the body doesn't hold up to the big flavors. The flavors are there no doubt, but it is just a little on the thin side. Overall, I like where things are going for pipeworks, will be excited to see what other barrel aged brews are on the horizon."
416,104824,langchops,"Bottle poured into HF glass Batch 209 A - Pours a deep brown, like partly used motor oil. Head quickly dissipates, very little lacing. As expected S - Smells of sweet vanilla with a hint of chocolate, but vanilla is more pronounced T- Follows the nose but the smooth bourbon notes are just amazing. A little closed straight from the cellar, but after an hour, this opens up very nicely. The vanilla, choclate and alcohol notes are well balanced at this point. Can't find much wrong here M - Fairly thick and coating, O - A very good version of this beer. Also had this at Fobab and it's even better than I remember. Please let this one warm up, its worth it"
417,178980,ajm5108,"Got this at a local pub in PA across the state lind from the brewery. Couldn't find any info on the thirsty dog website about the beer, but it isn't their advertised as their normal berliner. The bar is a legit craft haven in the area so I trust it wasn't a mistake. It had a dry hay and orange peel nose, the tart is gentle but noticeable with the citrus carrying through. The big thing is that it is very creamy and velvety feel, with a vanilla orangcicle flavor, which I assume comes from the barrel aging. Have not had the regular Berliner from them so nothing to compare it to, but this version was excellent"
422,203086,champ103,"On tap at the brewery A: Pours a hazed, cloudy golden/orange color. A minimal white head forms, and recedes quickly with very spotty lace. S: Pine, soapy, grapefruit rind, light citrus. Pale malts, that do little to balance, but can be picked out. Finishes with soapy, resinous, piny hops. T: Like the nose, piny and soapy hops dominate. Slick and oily. Very light malts. Finishes on the bitter grapefruit, pine side of the spectrum. Still fairly mundane. M/O: A medium body. It is almost impressive that this is not watery and thin. Not crisp carbonation, but a bit higher than some of the other offerings. Oily and resinous. Given the mundane character, not bad to sip on. A slight step up from the other beers I had. Though a fairly non impressive DIPA."
423,47792,WillieMoe,"One of the current cask conditioned brews available at the Canal St. Beer Works. Nice golden yellow look to it with a thin head, mildly hazy. Has a nice spiced fruit aroma to it, with the camomille sticking out, but also some coriander and decent floral notes. Has a solid citrusy taste about it, with the hop taste being fairly understated, mixing well with the spices. Has a nice full body and a solid bitterness. A nice solid brew, that is definitely worth a try."
424,47792,IBUnit63,"Into a pint glass we go. This pours much like a Belgian pale...1 1/2-finger head with solid lacing. Body is very light lemon-honey and with a little bit of cloud cover. Of course this is extremely floral, fruity and calming. The chamomile is definitely the master of this domain. There's a fair amount of tropical (and other) fruits here - cantaloupe, a bit of pear, too...and a little papaya? The hop bitterness can best be described as Saaz-ish...tight and a little piney. The chamomile has that nighttime herbal tea quality to it - it's pretty hardcore in a cask. I wonder if the chamomile lends itself better to a regular cold tap - it gets a little thick after a while. Palate feel is very sweet and tight, with a heavy wallop of bitterness from the chamomile husks. Pretty hefty. Yup - this is OK but I think in a regular tap it would do better - chamomile on cask is a little over the top. Interesting pour though."
427,288531,WoodBrew,I'm trying this at the brewery. It poured a clear golden with white head that is leaving a spotty lace. The scent was mild...subtle presence of citrus peel. The taste was bitter leaning with sweet malt presence. The mouthfeel was fuller in body with good carbonation. Overall it's ok.
440,209991,Moose90,"Served On-Tap A - Pours a deep dark ruby tinged black color into the glass. There is a billowy coffee brown colored head formed on top that leaves behind some quality lacing. S - Smell is bitter roasted and toasted, chewy dark malts intermingled with hints of coffee and chocolate. T - Taste is rich and robust without being sweet. Notes of bitter dark chocolate, coffee, and a light dark fruit note. M - Medium-Full bodied, rich and satisfying. O - Good overall, classic American Stout."
441,106164,aussiebeer,Nothing negative about this one
449,106164,mfnmbvp,"22 oz. bottle, with no apparent bottled on date present. Handwritten Batch #75 on the label. My third beer from Chicago's Spiteful Brewing. Poured into a clear balloon snifter. A - Pours a finger and a half of soft fluffy soapy khaki head on top of a bright burnt sienna orange colored body with some ruby red highlights when held to the light. Scattered lacing. Looks very nice. S - Smell is of bright juicy floral & tropical hops, grass, some cream, some soapiness, red / amber malt, caramel, faint molasses / brown sugar, and a hint of alcohol. T - Taste is of big bitter grapefruit hops, peppery rye, caramel / amber malt, some brown sugar sweetness, and some dirty herbal earthiness. M - Feel goes down smooth and clean, with some herbal grapefruit hop bitterness clinging to the palate. Medium full body with good carbonation. Overall, another nice beer from Spiteful Brewing. These guys haven't let me down yet, and by the looks of things, it seems like I'm going to have to try some more of their beers. These local Chicago breweries have really been doing great things lately. Spiteful Brewing Negative Nancy ---4/5."
