beer_id,username,text,score,name,style
571,psychout,"One of the only beers I have ever actually liked and not just for the alcohol. Got it half price at Kroger, I hope they have more in the future. Drank it warm and it was delicious, tastes like a coffee smoothie with some other stuff I guess.",5.0,Oatmeal Stout,English Oatmeal Stout
572,bohuggabee,this is hands down my favorite beer and i'd drink it everyday if i could afford it...sadly it is very expensive.,5.0,Taddy Porter,English Porter
573,SteveoNY,"Presentation: 18.7-ounce embossed brown ""Victorian Pint"" bottle with gold foil, no freshness date to be found, but code date stamped on bottle. Appearance: Crystal clear amber orange in color, lovely off white silky head. lots of lacing. not as the expected golden color. Smell: sweet tarts Taste: Medium bodied lovely IPA. bitter sweet harmony. perfection - much better than expected. Notes: at least the English characteristics make this brew an interesting ale. prefered amongst the more bitter IPA's out there (Must be the water)",5.0,India Ale,English India Pale Ale (IPA)
575,SammySmith,"To me, it's the perfect beverage. I've been drinking it since 1982 when I was stationed in England while in the US Air Force.",5.0,Organic Pale Ale,English Pale Ale
576,Schimms,"L: Poured into a pint glass, in the fridge for only a few hours - cool, but not cold. Beautiful ruby brown hue with a sustainable fluffy, white head. Amazing lacing - white fluff clinging to the sides of the glass! Thin head continues remains with every sampling. S: Sweet, slightly hoppy. T: Everything a brown ale should be - malty sweet, slight hops. Probably goes perfect with anything a brown should. F: Smooth with light carbonation. O: Perfection!",5.0,Nut Brown Ale,English Brown Ale
577,tmalt,"Poured into pint glass this ale has a beautiful amber color with white foamy head an inch thick that lasts for a few minutes. A lovely smell of butterscotch and plums exudes from the ale. The taste is that of well crafted amber ale slightly sweet, heavy malt and fruity with a dry finish. I loved this beer which was very refreshing and gulped down on a hot day. This is an everyday drinker for me , however in the cold winter I would go for something much heavier and higher in alcohol.",5.0,Winter Welcome Ale,Winter Warmer
580,Stout_Scout,"great light lager serve ice cold pairs well with burgers,hot dogs,BBQ,deviled eggs, ect",5.0,Miller High Life,American Adjunct Lager
582,Jorybaer,My favorite Oktoberfest by far.,5.0,Spaten Oktoberfestbier Ur-Märzen,German Märzen / Oktoberfest
593,Torilynn86,One of my favorite beers!,5.0,Rare Vos Amber Ale,Belgian Pale Ale
598,Jesscmilanes,"Visual: The beer was a cloudy, glowing, autumn orange with hint of brown. It had a foamy white head that cleared rather quickly. There was some lacing. Aroma: The beer smelled of ripe, sweet peaches, honey, apple, and dried apricots. It was also slightly floral. Taste: The taste was great--it had pleasant, strong notes of peaches and tree fruits. It was refreshingly sweet, and easy to drink. Mouthfeel: I felt that it had a light mouthfeel due to the fruity flavors and carbonation, but also a slightly full mouthfeel as well due to it's sweet finish. It had low-medium carbonation. Overall: I really enjoyed this beer. It was refreshing and very easy to drink due to its sweetness. It reminded me of summer, and I thought that it would pair well with a lot of different foods.",5.0,Lindemans Pêche,Belgian Fruit Lambic
599,cashcaliman,Perfection made beer!,5.0,Lindemans Framboise,Belgian Fruit Lambic
600,5anvils,"This is a such a great beer. The first time I was introduced to it was in 1994. It is so unique. Ther cherry finish and the corked bottle are just the beginning of this beer. If you have never had a true Belgian kriek, you are missing out. This is nothing like this fruity flavored beers that US craft brewers try to make. This is a true Belgian beer. Aged for years, kriek beer is specially brewed with aged hops(not for flavor ) but for preservation. This is a great beer to enjoy with your favorite woman. This is a classic european brew that needs to be on your list. It is not a beer that you would drink many of, but would enjoy with a special moment. The combination of aged barrel taste and vintage cork is such a pleasant part of the experience. Check it out, you will be pleasantly surprised.",5.0,Lindemans Kriek,Belgian Fruit Lambic
601,Brad007,"Pours a dark red color, almost transparent. Only slight carbonation. Aroma is strong with blackberry showing through. Somewhat tart and sour as well. Taste is very tart and mouth-puckering and finishes with a beautiful bouquet of blackberry. It's almost as if this isn't a beer. It's quite sweet and tart at the same time. Devilishly drinkable as well. I may be a newbie to lambics but I feel this deserves a high rating because of the effort put into it and how delicious it is.",5.0,Lindemans Cassis,Belgian Fruit Lambic
607,Stevend719,Wow!,5.0,Fat Tire Belgian Style Ale,American Amber / Red Ale
608,MrNuggets,"An everlasting white head stares at me from a paled golden body muddied by a touch of haze. Flowers in full bloom on the nose. Bold sweetness rushes into a citrus blast. Like a life long tightrope walker, this brew has balance. The beer rests lightly in the mouth delivering a the bitterness that is demanded from a left coast pale ale.",4.85,Poleeko Pale Ale,American Pale Ale (APA)
611,AndreRus,Great IPA! One of my favorite. Taste and the smell really stand out from the other IPAs,5.0,Hop Ottin' IPA,American IPA
613,ruskatherine,Love the taste. Excellence of cloudiness. One of the best.,5.0,Julius Echter Hefe-Weissbier Hell,German Hefeweizen
615,cmbashor,Absolutely fantastic. Not very strong but chock full of flavor.,5.0,Barney Flats Oatmeal Stout,English Oatmeal Stout
619,AaronRed,One of the best bitters.,4.76,Belk's ESB,English Extra Special / Strong Bitter (ESB)
620,Ale_Dog,So perfect on tap in CA,5.0,Affligem Blond,Belgian Blonde Ale
622,Irishman_Scott,"A classic old school porter regarding look, smells, mouthfeel, and flavour. Very roasty, but this one also has a bit of hops character.",5.0,Robust Porter,Robust Porter
623,ChristinaLynn,This is my all time favorite beer. Easy to drink. Amazing crispy cedar taste. Color is a dark amber. Smells like home for me.,5.0,Boont Amber Ale,American Amber / Red Ale
626,gonzo46and2,"Appearance: Dark red to brown with a massive pillowy head. Smell: Brown Sugar, Peach, Apple, Clove, Raisin, Fig, and a bit more. Taste: Flavor blends the aromas and alchohol with a very even taste. Mouthfeel: Thin mouthfeel with sparkling carbonation. Drinkability: I'd drink it every day if it was affordable. ***First beer of the night... hard act to follow....",5.0,La Trappe Dubbel (Koningshoeven / Dominus),Belgian Dubbel
631,duderus123,"Mendo Brew's flagship Ale. My favorite Amber Ale of all time. appearance = an Amber hue that is slighty tinged. The head poured out creamy and settled fairly quick. No fizzing No lacing to speak of. smell = Caramelly malt scent. Piney hops scent. taste = Malt tastes caramelly. A slightly yeasty flavor. The hops are pronouced, but not overpowering. Piney and citrusy flavor going on. True to the style. mouthfeel = its got a medium heavy body. A tad bit sticky. overall = 10 years ago, this was the first Amber Ale I'd ever tried, and its the best Amber Ale I've ever had to date. The industry standard. TRY IT!",4.72,Red Tail Ale,American Amber / Red Ale
633,mynie,"That is a pour you can bring home to mother. You hold it up to Mother's face and you say ""See this? See this you bitch! THIS is a beer! This is what you never gave me!"" And then right there she realizes that you had been right all along. You know the smell of a good Belgian? Pick any good Belgian. Fruity, spicy, zippy, zangy, or twangy--yeast and alcohol and fruity and hops. Okay now mix all of those together and make them really strong and perfect. Almost too strong. Oh god I have to sit down. Mom? Mom--I'm sorry. I didn't know what I was talking about. The smell, it just--it just got INSIDE me. I wasn't me. I was the smell. I'm sorry. Tastes--well, the flavor was so intense I had to load up this here internet page and make sure it wasn't a smoked beer. It takes a few sips before you can pick out any complexity. Big fruit, big yeast, big spice. Good lord where do we start. All the BA platitudes are rolled into one, right here. Every generic adjective for ""good."" Starts with spice malt, like steak sauce, moves into spice spice, like pepper and Nature's Seasoning, ends sweet and bitter, lemons and bananas and perfect, dry hops. Good god I need more. More more more. Everything that is wrong with the world can be summed up from my lack of this beer. Everything that is wrong with me. Everything that is wrong with you. Everything that is wrong with mother.",4.97,De Dolle Arabier,Belgian Strong Pale Ale
635,RDAdams,"For years I have thought Chimay Grande Reserve and Duval were the finest beers on the planet. I now prefer Kwak to both! Appearance: Dark amber to copper with a large cream head. This beer has beautiful legs. Aroma: Complex, fruity aroma with sweet smelling esters and phenols balanced with the malt. Taste. If it's in the aroma, it's in the taste. And the effervescent carbonation enhances the tastes of the esters and the phenols. Mouthfeel: Medium body and warm without an alcohol taste. The high carbonation is very pleasant. Drinkability:Awesomely smooth This is a World Class Beer.",5.0,Kwak,Belgian Strong Pale Ale
637,willfman,Drink this everyweek. Best home beer in a bottle you could want. Not a big fan of chilled beer but a cool 'specklage' hits the spot. Love this beer. If you have not tried it please do.,5.0,Old Speckled Hen,English Pale Ale
639,rbm8525,"Favorite beer, don't need your approval app",5.0,Newcastle Brown Ale,English Brown Ale
641,BigD,"Very sad to say tha Mendocino Brewing Co. just went out of business, and my favorite offering is no longer available. It has been in my rotation for quite a few years, after deciding I liked it better than Red Tail Ale. Mendocino Brewing is located in my region of the country and was one of the early micro brews in Ca, Red Tail Ale was one of the first micro brews I ever tried, and Sierra Nevada Pale Ale became my go to for many years, until Lagunitas IPA replaced it. I will miss it.",5.0,Eye of the Hawk,American Strong Ale
643,DrCDPriest,"This is a fantastic brew, excellent back story, regardless if GW brewed this beer, it is as American as you can get. Appearance - Pours a clear golden amber color, more to the medium brown tint. In using a pint mug it had a nice head, about a finger an a half, and a nice amount of lacing all the way to the bottom of the glass. Aroma - You can smell the flavors as you open the beer, medium malt and pumpkin nose with a bit of spice. If you love pumpkin, the aroma won't disappoint you. Taste - The taste follows the aroma, it really enhances it quite a bit, makes for a perfect combination between smell and taste. Mouthfeel - It is a medium body feel with perfect carbonation. Nice malt flavor and definitely you get there is pumpkin in the mix. Overall - You taste the pumpkin, spices, and wheat flavors, it is an incredible beer that the aroma really leads the taste. Serving type: 12 oz. bottle poured into a pint glass.",4.75,Buffalo Bill's Pumpkin Ale,Pumpkin Beer
645,Mknght,"Great. Normally would not pick a Quad, but this is amazing! Boozy, but so much going on flavor wise that you do not notice at all.",5.0,Trappistes Rochefort 10,Belgian Quadrupel (Quad)
646,DoctorRobert1969,Probably my fav Belgian Trappist Tripel. Pretty much perfect.,5.0,Westmalle Trappist Tripel,Belgian Tripel
648,mempath,"figured i'd try this since it's a tip of the hat to brewing history and activity...and i like anchors offerings. surprised to see the 'score' but here goes... nice bright deep brass color with an active head that laces briefly but disappears quickly. definitely appears to have a good body. so far so good. the nose is subtle but instant hint of herbs, floral. i don't know why but each sniff makes me think of the alps. weird. something medicinal in a good way...ree-colahhh. the translation to taste is similar, but the shift from subtle/mysterious is more revelatory. definitely not watery, rather astringent (in a good way) thanks to an active mouthfeel. crisp, uncomplicated but not simply 'simple'...for something so malty, there is a hoppy menthol sense that makes this a little more mysterious once again. i guess it's good it's low ABV....but i do wish it didn't cost so much ($6+ for the bomber) would be interesting to pour a few ounces of Old Foghorn in...and vice versa when i have an OF on hand.",4.42,Anchor Small Beer,English Bitter
650,Bsimpson91,"The first thing that comes to mind about this beer; Bold, Rich and Complex. The smell first reminded me of BBQ sauce but as I thought about it, The smell was really smoke-like with a note of Chocolate coverd raisins. When you think of chocolate, Think imported european chocolate. The Taste is very Bold and Complex. This beer really takes some time to understand all of its nuance flavors. Ultimatly, Its very Smokey with that Chocolate covered raisin fruitiness. Maybe Chocolate covered Cherry as well. I can't find much coffee-like flavors at all. There is very little hop bitterness to speak of. The Roasted Malt makes up most of what you taste. To generalize, its Bitter-sweet. The feel is medium on the palette, Its not really creamy however, it is very rich and sits on your stomach like you've just had a meal. I really enjoyed this beer but I would choose to drink it on rare occations. This beer would be wonderfull to par with steak, potatos, sharp cheeses and BBQ.",5.0,Guinness Extra Stout (Original),Irish Dry Stout
652,jewellrunner,"The best beer I've ever had. I don't really know what else to say. To try to break down this drinking experience might cheapen just how fantastic it was. I just want to remember the moment, not define it.",5.0,Traquair Jacobite,Scotch Ale / Wee Heavy
653,HellBelly,"That's right. This beer gets the highest marks all around. It's $1.42 per 40 ounce bottle here and I prefer it to any other ""cheap beer"" and a lot of the more ""spendy"" beers on the shelves. I have indeed tried them all. It's like a sore dick. You can't beat it.",5.0,Natural Ice,American Adjunct Lager
656,Sean82,"Absolutely love this strong Belgian Trippel. Fell in love with when I first tried it in Bruges/Brugge Whilst quite strong, it is such an easy drinking, and smooth beer. Absolutely amazing.",5.0,Tripel Karmeliet,Belgian Tripel
658,AGRIPINO,Very good balance between taste and smooth,5.0,La Trappe Tripel (Koningshoeven / Dominus),Belgian Tripel
665,OzmanBey,"This was a very nice light bodied Ale with a nice crispness to it, notes of Banana, toffee, little bit of hops, and a nice overall Malt taste.",5.0,Anchor Liberty Ale,American IPA
667,Irishman_Scott,"Now, this is my first review so bear with me until I get the hang of this. I was very pleasantly surprised with this one. We have an awesome Mexican restaurant in our town, and of course being a beer lover, I wanted a beer with my meal. I asked the server if they had any darker beers, and he suggested this one. It had a decent look to it, not the best I've ever seen but pretty respectable. It had a nice medium brown color, I guess kind of amber. It was a bit fizzy but not too much. I don't like a lot of fizz, but to each their own for those who do. The taste was great! Not too hoppy, which is good for me, and it had a good caramel taste that I thought was present. Taste-wise, I am sure there are much bolder flavored beers out there, but this one doesn't lack flavor and is all in all very good. Not what you'd call a heavier beer, but it has some substance to it. It is worth a try and I personally found I really enjoy it.",5.0,Negra Modelo,Munich Dunkel Lager
670,aronhuh,"In my wholesome opinion, this ought to be the best beer I’ve yet consumed. The fall edition of the Busch beer is aesthetically pleasing while the smell takes you back to those good ol’ days fishing on the boat. The taste is somewhat similar to a banana beer which I find to be indulgent and unique. I feel unbreakable as I double fist Busch beers, as the overall outlook on this beer is simply breathtaking. Give Busch another chance, c’mon.",5.0,Busch Beer,American Adjunct Lager
672,spencz11,Definitely one of the best beers in the world. Has an extremely well balanced taste. This Belgian beer is the one I introduce to my wine friends due to its complexity and wide range of flavors. I love the Chimay line and I'm able to get bottles of the red for around $9 which makes this extremely hard to beat.,5.0,Chimay Première (Red),Belgian Dubbel
673,Mikejordana,Perfect Flanders red. Acidity works brilliantly with the tartness. We detected a vinegar and wine familiarity. Will drink again.,5.0,Rodenbach Grand Cru,Flanders Red Ale
674,mcneilldk,My favorite Trappist beer.,5.0,Westmalle Trappist Dubbel,Belgian Dubbel
677,Ale_Dog,Spot on perfect. I want to move to Belgium,5.0,De Koninck APA (Antwaarpse Pale Ale),Belgian Pale Ale
680,Buckert,What an amazing stout! This one has a nice bakers chocolate flavor that is not too sweet. Get beer to drink with deserts around the holidays.,5.0,Brooklyn Black Chocolate Stout,Russian Imperial Stout
689,Dandabard,"Beautifully sweet Jamacian import. My personal favorite import. Incredible for cooking with. specifically beer batter for fish. I never drive or wear a frown while enjoying this incredible beer. Strong, yet not overwelming. The best lager I have ever enjoyed. Some say it is an aquired taste to enjoy, and you will have some devilish farts the next day if you finish a 6 pack but always worth it, just avoid on a first date if you stay the night. ;)",5.0,Red Stripe Jamaican Lager,American Adjunct Lager
691,Aaron_Ramson,"Picked up growlers of Calico Copper Amber and Big Eye IPA from Ballast Point brewery after making a 2 hour drive there. Pours a beautiful amber red with a slightly khaki fluffy head which dissapates into an even lacing around the glass. Aroma of sweet caramel, pears, white grapes, sweet lime and citrus. Strong flavor of caramel, fresh bread, buttered toast, cereal; lime and huge grapefruit flavors coming from the hops. Mouthfeel is medium thin with a very appropriate carbonation bite. Delicious and extremely balanced. As close as you can get to the perfect session beer.",4.9,California Amber,American Amber / Red Ale
693,Murph,"Pours a beautiful golden orange color with a nice creamy white head that slowly sinks to a film and leaves some lovely rings around the glass. The smell is all fuggles as the names suggest, intense english hops with just a hint of sweet malt. Beautiful creamy malt starts the brew off before it transitions into a nice mellow bitterness that the fuggles empart. Extraordinarily creamy and smooth and yet very crisp as well. This is one seriously drinkable brew. It is just getting better and better as it warms too. I have had two of my now favorite IPAs in the last couple of days. Thanks to the Bierman for the bier.",4.8,Fuggles IPA,English India Pale Ale (IPA)
694,Bayern1971,"Best beer in North America and up there with the Belgian greats like Tripel Karmeliet. Though La Fin du Monde gets all the attention from Unibroue, Donde is somehow better. I've never seen Donde on tap anywhere (why not???) so from a bottle it must be served. Smell is a complex aroma of fine yeast, dark fruit and sweet malt. Pours like a weiss beer with little head and lacing. The appearance is a deep, golden bronze that's a bit cloudy, almost like a German Weizenbock. And to that end, I think this one should really be classified as a Weizenbock as it's looks and tastes like a really intense weissbier. The bottle says it's triple wheat and I believe them. Taste is a bright explosion of fruit, clove and a sweet caramel. Finish is smooth as water off a duck's ass. Alcohol is well hidden as it's 9% and there's not much tang from the fermentation. Begs to be savoured and enjoyed slowly. This is a celebration beer and a good alternative to any wine you my enjoy. Unibroue is so far ahead of its North American competition, it's painful for their challengers. While the competition continue toil away in their basements with their poor experiments they call beer (Victory Golden Monkey, anyone?), Unibroue continue weave golden wheat into bottles to create magic.",5.0,Don De Dieu,Belgian Strong Pale Ale
695,kongfuzi,This is my favorite beer hands down. My wife loves it too!,5.0,Duvel Belgian Golden Ale,Belgian Strong Pale Ale
696,Sacrifice,"newer bottle design, 5.2% ABV. almost as good as their sculpin IPA, which is how i came to sample other ballast point beers. clear taste but nice for cold as well as warm weather. ballast point is now my favorite san diego brewery - better than stone, even",4.94,California Kölsch,German Kölsch
700,TreyDavidWood,"This is my absolute favorite beer of all time. I think it tastes great, even if it does not have a reputation of being an excellent beer. To me, it is just a higher quality, slightly more sophisticated version of domestic party and game-day beers like Budweiser and Miller, and if that does't sound appealing to you, then I don't know what to tell you.",5.0,St. Pauli Girl,European Pale Lager
702,hollydae77,"This ale was a great choice for me. If you're looking for something that isnt too heavy and has a really clean finish I highly suggest this choice. I'm not big on the real hoppy stuff, but I do want to taste it. This was perfect for that. Like i said it was had a clean finish, and was very refreshing. The place I was at had alot of taps, and many more I wanted to try, but i couldnt get enough of this one, i had 3 and was completely satisfied just having tasted this one.",5.0,Juniper Pale Ale,Herb and Spice Beer
703,ryanm3850,Anyone from Dublin would likely say that Guinness is the greatest (and maybe it is). But venture further and try one of these for a slightly different but similarly exceptional Dry Irish Stout.,5.0,Murphy's Irish Stout,Irish Dry Stout
705,pat61,"L: Pours bright dark chestnut topped with a thin white film. S: Malt, raisins and port aromas. T: Has a sweet port quality loaded with raisins, alcohol and a slight prune and a hint of bread and caramel. F: Chewy, low carbonation. O: This is the 2006 vintage also had the 2005 vintage which leaned more to sherry than port. Both are excellent.",5.0,Harvest Ale (Limited Edition),British Barleywine
706,JimCanning,"I'm here in the USA, I had this beer once many years ago when I was in England with the US Marines. A few years ago, while living in South Florida, I was able to buy this again, however I moved to Pennsylvania, and I can not find it anywhere. I was searching and found this site tonight, can someone PLEASE send me some info on where I can order this and have it shipped to me? Thank you very much if you can. Jim at [email protected]",4.6,Tetley's English Ale,English Pale Ale
709,ktown89,Best Ballast Point brew in my opinion. Would take this over Sculpin any day.,5.0,Big Eye,American IPA
712,rypkr,"L - flawless. The clearest dark straw I have ever seen with creamy frothy head. S - wow. Potent rich bready yeasty classic Bavarian beer T - stellar. So much flavor into so a light drinkable beer. Extremely bready with a ridiculously light but assertive bite back from the hops. M - I've use ""creamy"" before but damn, this beer epitomizes it. I almost don't feel the carbonation yet it's ANYTHING but flat. O - as my 571the beer rating and probably 800th beer I've clearly been chasing too many bourbon barrel stouts and fresh dipas. This is a case purchase in the future.",5.0,Weihenstephaner Original,German Helles
717,basscram,"Pours into pint glass from bottle, dark brown, literally no head except what is at the end of the pour. Not fizzy. No lacing as it is taken in. Smells like sweet like brown sugar. Not a strong smell but a soothing smell. Tastes a little nutty, taste hits tip of my tongue and quickly goes down the gullet. I can take big swallows of this. Taste does linger on the tongue but not annoyingly. I'm usually not into browns and turn my nose up at them BUT, I must say, this has me wondering what else do I taste in it and if so its good! I like this one. Maybe I've not tried and English brown like this one.",5.0,Downtown Brown,English Brown Ale
718,Amboularozzo,"Forget sips. Drink an ice cold steely instead. Amazing smooth taste and feel. Wicked strong. One 24oz can should be enough. Really top notch ""bum beer"". King of high gravity malt liquor",5.0,Steel Reserve 211 (High Gravity),American Malt Liquor
722,Wmubroncos85,"classic - very true to style. Well balanced, touch of sweetness and a nice carbonation. Will buy again, and again.",5.0,Tripel,Belgian Tripel
724,Offa,"This is one of my all-time favourites and for me it is essentially perfect beer. Th colour is deep bronze colour with reddish hints. It has a beautiful thick, creamy, head that lasts forever and leaves beautiful lacing. In taste it has amazing, deep complexity with a perfect bitter-sweet balance, and plenty of malt and hops in great balance. It has lots of light, zesty fruit with citrus, plus lightly caramelly malt, toasty bread, pine, a light earthiness, and consistent flavour from start to finish. It's flavour is strong and complex yet clean, very crisp, lively, and extremely satisfying and drinkable at the same time. It has an incredibly ""fresh"" quality to it. I shall add though, that I have gotten a couple bum bottles (however, that's out of many).",5.0,Young's Special London Ale,English Extra Special / Strong Bitter (ESB)
726,mikesgroove,"Now I was actually very excited to try this one. I have been a fan of everything I have tried that has come out of this brewery and was hoping they could continue to roll along for me with a light brown ale. This one poured a very nice hazelnut brown with about two inches or so of off white head. This gradually faded and left behind nothing more then a token bit of lace on top and some nice and delicate side glass lace. You could see some carbonation trickling up from the bottom letting you know it was alive. The smell was quite light, sharp, and surprisingly hoppy. Nice grainy and earthy base gave way to a bit of sugar and caramel and a touch of some light floral hops. The taste followed suit very nicely. Start out with a touch of caramel and then quickly rolled into a very nice sharp grapefruit like hops. Great dry finish really kept the whole package going. Great feel on this one, nice smooth, medium to light body was kept up by ample carbonation throughout. This was a good one that you could have a few of over the course of the night, as there was definitely nothing boring going on here. Overall I was very impressed with this one again. It was a nice light, sweet brown ale that had just enough of a hop kick to satisfy someone like myself. I would definitely recommend giving this one a try, it deserves it and I will be seeking out some more.",4.42,He'Brew Genesis Ale (Old Version),American Amber / Red Ale
727,OzmanBey,"This is a pricy but very good beer if you like the taste of smoke then you will love this, it's like drinking smoke from a camp fire that leaves your mouth watering for more.",5.0,Aecht Schlenkerla Rauchbier Märzen,German Rauchbier
731,Ewillig,Best beer. GOAT. This tastes like the really good beers that I used to drink when I lived in Bavaria. Flavorful yet smooth.,5.0,Weihenstephaner Hefeweissbier,German Hefeweizen
732,dgp207,"I like it, good head !",5.0,K-9 Winter Ale,Winter Warmer
738,sammyt1184,"Dark, roasty, dang tasty",5.0,Cutthroat,American Porter
740,IPA_Brady87,Smooth smooth smooth smooth smooth,5.0,Odell 90 Shilling Ale,Scottish Ale
751,Bsimpson91,"Oh man, what some flavor this American Pale ale has! This beer is bursting with excitement! The presentation is nice and simple. The artwork is a much welcomed down to earth design. Better than the current trend of psychedelic art you see with other craft beer brands. Smell is wonderful and pleasant, with aromas of bright tropical fruit with a lot of floral hints. You get a underlying toast and some depth. The taste is much the same as the aroma. Very hop forward with bright citrus notes. Taste is guava, and apricot fruit with a floral kiss. The malt lies underneath the fruitiness of this ale. The feel is nothing out of the ordinary. The hop residue stays with you for a while. I highly recommend you give this beer a try. It is absolutely wonderful and well put together. A fantastic brew!",5.0,420 Extra Pale Ale,American Pale Ale (APA)
752,OzmanBey,"If you like foreign stout but wish it had just a bit more bite then this is the one you've been looking, it's Extra Stout times ten.",5.0,Guinness Foreign Extra Stout,Foreign / Export Stout
754,Beer-o-matic,If you have ever been on a golf trip to the UK do yourself a favor and drink Guinness the entire time. To this day I drink one and am taken back to the roots of golf.,5.0,Guinness Draught,Irish Dry Stout
755,templar316,"2004 vintage in my I Believe snifter. Still has a surprising carbonation herringbone head falls back quickly but clings softly to the side of the glass. All the rough edges have been smoothed of this, leaving polished obsidian. Madagascar vanilla, cocoa and the hint of black currant roll past. Evaporating into a dry licorice finish. A dark pleasure!",5.0,"Carnegie Porter 5,5%",Baltic Porter
759,DoctorRobert1969,Top notch and memorable version. One of my favs.,5.0,Schneider Weisse Tap 4 Wiesen Edel-Weisse,German Hefeweizen
760,AlpacaAlpaca,"This beer is like drinking joy. It brightens and warms like the sun, with its clean wheat and banana notes glowing on your palate. If this was the only beer out there, I'd be just fine.",5.0,Weihenstephaner Kristallweissbier,German Kristalweizen
767,colinlikesbeer,Easily my favorite beer. Not for any logical reasons. Taste wise it is better than most of the American and European macro beers. Admittedly not as complex as some higher rated brews but for 4.5rmb a 500ml at Family Mart it's pretty damn good. Get it locally.,5.0,Tsingtao,European Pale Lager
772,DornHetzel,"As far as I am concerned, this is the best beer of all that I have ever tried.",5.0,Hacker-Pschorr Hefe Weisse Naturtrüb,German Hefeweizen
773,drperm,"Bottle purchased 6/2010; Opened 5/2013. My first thought is, this is the best beer I've had in a very long time. My second thought is, this is quite possibly the perfect beer. My third thought is, DAMN why did I only buy one bottle?? A deep ruby colour entices in the glass. On the nose it is, in the words of another reviewer, ""like Scottish food"" - lots of spice, malt, esters, vinegar, tartness, and plum. On the palate it is extremely complex and enjoyable - sweet & sour with a fair balance between the two: not too sweet, not too sour. The finish snaps sour with a hint of bing cherry. Pair with: carrot-miso soup with sesame oil (I'm not even kidding), herbed goat cheese, baked brie with fruit, dates and figs, roast duck, or venison with cherry sauce. And when you find it in a shop, don't make the same mistake I did: purchase more than one bottle.",5.0,Goudenband,Flanders Oud Bruin
776,Specules,"Picked up a 4-pack for $20 at Mesa Liquors in Santa Barbara (I highly recommend the place). 11.2 fl oz poured into a Tulip glass. I'm smitten about cloyingly sweet beers, so this one is heaven sent for me! Smelling this is like opening a cupboard of freshly baked bread with brown sugar, caramel, dates, and hazelnut in each side shelf. Booziness is actually somewhat well hidden in the nose. The taste, oh man, is it sweet. Many would not like this, even consider it a drain-pour. I for one and my old lady consider this exceptional. The malts, honey, and boozy sweetness are gone to town with. There is some sweet southern iced tea qualities, for sure some brandy barrel flavor going on here, and a slightly bitter aftertaste. gord bless this particular individual beer situation",5.0,Samichlaus Classic Bier,German Doppelbock
778,DoctorRobert1969,"When I first tasted this, I thought ""Wow, this is what a lager is supposed to taste like like and I never knew it!"" So clean and refreshing. A near perfect golden lager.",5.0,Pure Brewed Organic Lager Beer,European Pale Lager
779,Cthulhusquid,"Revised Review, 12/17/15 Look: Poured into a Duvel tulip. Two finger brown head, solid brown-black body. The head lasted for quite awhile, though got pretty thin after some time. Smell: Dark fruits, honey, malty bread, and caramel. Taste: Same as the above, but with a hint of roasted peanuts. Feel: Amazingly creamy, medium body and carbonation. Other: One of the best beers I've ever had. So few reach this level of malt-heaven.",5.0,Weihenstephaner Korbinian,German Doppelbock
782,josanguapo,"From XXXII. In Teku glass. Playing South Park The Stick of Truth. Has something that makes crave for more after each sip. Really good tasting, smelling and feeling, and with an ABV lower than usual in the style",5.0,Imperial Stout,Russian Imperial Stout
788,Keeneke,"Hard to find, But this is an amazing, excellent beer! I got it in a restaurant, haven't tried it in a bottle yet.",5.0,Brooklyn Pilsner,German Pilsner
793,GeneralCuster,Extremely good.,5.0,Raftman,Belgian Pale Ale
794,Hackattack,"This is WAY underrated as a ""very good"". In aligning with another rating I had seen..it does remind me of what is called a bitter... when you order it at a pub in the UK. They ""pull"" it up by pumping the handle at the bar and it comes up through pipes/tubes connected to the keg/barrels from the cellar. I went there way before great American craft breweries began the revolution here, so the brew in the UK was even more special back then.",5.0,Amber Ale,American Amber / Red Ale
799,danoneil77,"L: looks like beer S: grassy, but not so much due to brown bottles T: perfect F: lightest most refreshing brau I've laid hands on O: a must for fans of German Pilse. Hard to get a hold of; I fear others are after this like me...",5.0,Radeberger Pilsner,German Pilsner
808,Lockster,Another outstanding beer from the world's best brewery!!!,5.0,Weihenstephaner Hefeweissbier Dunkel,German Dunkelweizen
810,woodyswenson,"Its a 2.99 beer, some of you have mental issues. What do you honestly expect?",5.0,Mickey's,American Malt Liquor
811,samciatu,"Malt! Unfortunately, now made by Budweiser in New Hampshire, so kinda spoils the old British mystique.",5.0,Bass Pale Ale,English Pale Ale
813,elNopalero,"Thanks to XicanoBeerRun for sharing this one. Bottled February 2011. Drank in February 2012. One year old. This pours a ruddy brown color with tight lacing and thick, tiny bubbles. It has a velvety appearance because of this. Looks fantastic. Incredible aroma, tart and sour. Some lacto, perhaps, and hints of tannic notes. Tastes fantastic. The effervescence coats the mouth and the tart, sharp flavors linger for days. The malt gives it some sweetness to contrast with the sour notes. Warms well, with an apparent alcohol warmth to it at 9%. This is an excellent beer.",5.0,De Dolle Oerbier,Belgian Strong Dark Ale
817,Svartrhand,Beautiful very strong Christmas Beer. Malty and sweet and very strong. Excellent for sipping on cold winter nights.,5.0,De Dolle Stille Nacht,Belgian Strong Pale Ale
